row,model,vin,image_path,confidence,engine_code,transmission_code
466,丰田 皇冠 2010款 2.5L Royal 真皮天窗导航版,AJSNPSTTSSR5S8SRS,data/qxb-photos/row-0466_丰田_丰田 皇冠 2010款 2.5L Royal 真皮天窗导航版/06_9f8438fdf2.jpg,high:contrast:rot0,,
467,起亚 智跑 2011款 2.0L 自动两驱版Premium,AEHEN4SZSETSEZ4AS,data/qxb-photos/row-0467_起亚_起亚 智跑 2011款 2.0L 自动两驱版Premium/01_c9e93202e9.jpg,album_ocr:compact:contrast:rot0,,
468,丰田 卡罗拉 2011款 1.6L 自动GL天窗版,A8224EEPASSL2YLS2,data/qxb-photos/row-0468_丰田_丰田 卡罗拉 2011款 1.6L 自动GL天窗版/03_aafc929498.jpg,album_ocr:compact:contrast:rot0,,
469,丰田 凯美瑞 2007款 240G 豪华版,DS7MT1HYPMYV3B2YB,data/qxb-photos/row-0469_丰田_丰田 凯美瑞 2007款 240G 豪华版/03_20542d002b.jpg,album_ocr:compact:contrast:rot270,,
470,日产 轩逸 2009款 2.0XL CVT豪华版,AL17PASS58SAS94RN,data/qxb-photos/row-0470_日产_日产 轩逸 2009款 2.0XL CVT豪华版/06_36b14d1d80.jpg,album_ocr:compact:contrast:rot0,,
471,奔驰 奔驰B级 2009款 B 200 时尚型,ASSCN7YLSWSRSASEN,data/qxb-photos/row-0471_奔驰_奔驰 奔驰B级 2009款 B 200 时尚型/05_0dcf58015e.jpg,album_ocr:compact:contrast:rot0,,
472,丰田 花冠 2007款 1.6L 自动G,LEALUPEELELSABEDE,data/qxb-photos/row-0472_丰田_丰田 花冠 2007款 1.6L 自动G/04_9798dcd99c.jpg,high:gray:rot0,,
473,本田 本田CR-V 2007款 2.4L 自动四驱豪华版,A53SSATKPCAELSSER,data/qxb-photos/row-0473_本田_本田 本田CR-V 2007款 2.4L 自动四驱豪华版/04_24759f63bc.jpg,album_ocr:compact:contrast:rot0,,
475,本田 雅阁 2010款 2.4L 百万纪念版,A72TSTSTB1RWSAZSS,data/qxb-photos/row-0475_本田_本田 雅阁 2010款 2.4L 百万纪念版/09_ffa167202f.jpg,album_ocr:compact:contrast:rot0,,
476,现代 途胜 2006款 2.0L 手动两驱时尚型,AMBEFESVV5AZ343A3,data/qxb-photos/row-0476_现代_现代 途胜 2006款 2.0L 手动两驱时尚型/03_29499ac903.jpg,album_ocr:compact:contrast:rot0,,
477,丰田 卡罗拉 2011款 1.6L 自动GL,AC8CEYU5S44WS7SXY,data/qxb-photos/row-0477_丰田_丰田 卡罗拉 2011款 1.6L 自动GL/04_fef71a5e5a.jpg,album_ocr:compact:contrast:rot0,,
478,本田 奥德赛 2009款 2.4L 舒适版,A1JEDC837SSSDBSY2,data/qxb-photos/row-0478_本田_本田 奥德赛 2009款 2.4L 舒适版/04_c3e0acc9e3.jpg,album_ocr:compact:contrast:rot0,,
479,现代 酷派 2007款 2.0L 自动,ALLEASSXY4ANNWF22,data/qxb-photos/row-0479_现代_现代 酷派 2007款 2.0L 自动/03_ba2e8a9198.jpg,album_ocr:compact:contrast:rot0,,
480,丰田 卡罗拉 2011款 1.6L 手动GL,A4VWNKARYYWWWAGXA,data/qxb-photos/row-0480_丰田_丰田 卡罗拉 2011款 1.6L 手动GL/05_2add44fe15.jpg,album_ocr:compact:contrast:rot0,,
481,本田 本田CR-V 2010款 2.0L 自动两驱都市版,ASSNYNSPZTYAYUANC,data/qxb-photos/row-0481_本田_本田 本田CR-V 2010款 2.0L 自动两驱都市版/03_492b496e46.jpg,album_ocr:compact:contrast:rot0,,
482,本田 本田CR-V 2007款 2.4L 自动四驱豪华版,A1YJZSXJTVL74L4S2,data/qxb-photos/row-0482_本田_本田 本田CR-V 2007款 2.4L 自动四驱豪华版/08_2e8d498e7e.jpg,album_ocr:compact:contrast:rot0,,
483,本田 本田CR-V 2012款 2.0L 两驱都市版,NSVAWN4BSS4NFPXKN,data/qxb-photos/row-0483_本田_本田 本田CR-V 2012款 2.0L 两驱都市版/05_2b3e514b27.jpg,album_ocr:compact:contrast:rot0,,
484,本田 本田XR-V 2017款 1.8L EXi CVT舒适版,ESL2CSAE74S5ASYRB,data/qxb-photos/row-0484_本田_本田 本田XR-V 2017款 1.8L EXi CVT舒适版/05_71a0d95063.jpg,album_ocr:compact:contrast:rot0,,
485,本田 杰德 2013款 1.8L 自动舒适版 5座,F7AFYFPPAAAADS249,data/qxb-photos/row-0485_本田_本田 杰德 2013款 1.8L 自动舒适版 5座/01_fe905daba2.jpg,album_ocr:compact:contrast:rot0,,
486,奔驰 奔驰C级 2008款 C 200K 标准型,F62S3SREEWWLA82DS,data/qxb-photos/row-0486_奔驰_奔驰 奔驰C级 2008款 C 200K 标准型/03_612e0ab98f.jpg,album_ocr:compact:contrast:rot0,,
488,丰田 RAV4荣放 2009款 2.4L 自动豪华版,ABSSSNSLYNYNEEXSS,data/qxb-photos/row-0488_丰田_丰田 RAV4荣放 2009款 2.4L 自动豪华版/06_be4e2c2d0f.jpg,album_ocr:compact:contrast:rot0,,
489,丰田 雷凌 2017款 改款 1.8GS CVT精英版 国V,AAN2ZZZZSSCET22P3,data/qxb-photos/row-0489_丰田_丰田 雷凌 2017款 改款 1.8GS CVT精英版 国V/09_1b4eabdb1a.jpg,album_ocr:compact:contrast:rot0,,
490,丰田 奕泽IZOA 2022款 双擎 2.0L 奕行版,EEWW1JN0SNSSSS3SX,data/qxb-photos/row-0490_丰田_丰田 奕泽IZOA 2022款 双擎 2.0L 奕行版/03_7898dec6b1.jpg,album_ocr:compact:contrast:rot270,,
491,丰田 皇冠 2010款 2.5L Royal 真皮导航版,A1SVS1RYSAWAGASSN,data/qxb-photos/row-0491_丰田_丰田 皇冠 2010款 2.5L Royal 真皮导航版/02_775693bd54.jpg,album_ocr:compact:contrast:rot270,,
492,丰田 卡罗拉 2021款 1.2T S-CVT 先锋版,ANEGEHLELEECS36CA,data/qxb-photos/row-0492_丰田_丰田 卡罗拉 2021款 1.2T S-CVT 先锋版/02_29da18075e.jpg,album_ocr:compact:contrast:rot0,,
493,本田 英仕派 2019款 锐·混动 2.0L 净尚版 国VI,AESSSNSWWZZGCSSSA,data/qxb-photos/row-0493_本田_本田 英仕派 2019款 锐·混动 2.0L 净尚版 国VI/03_e716d954e9.jpg,album_ocr:compact:contrast:rot0,,
494,本田 竞瑞 2017款 1.5L CVT经典版,ALWYSSASBAGN7SVDS,data/qxb-photos/row-0494_本田_本田 竞瑞 2017款 1.5L CVT经典版/03_374b58e8e6.jpg,album_ocr:compact:contrast:rot0,,
495,本田 思域 2016款 220TURBO CVT尊贵版,ALYJL19SS4EEXCS4B,data/qxb-photos/row-0495_本田_本田 思域 2016款 220TURBO CVT尊贵版/03_9973cc0301.jpg,album_ocr:compact:contrast:rot0,,
497,本田 本田CR-V 2007款 2.4L 自动四驱尊贵版,ESYS46NSSSLS1ASSS,data/qxb-photos/row-0497_本田_本田 本田CR-V 2007款 2.4L 自动四驱尊贵版/04_c0562df778.jpg,album_ocr:compact:contrast:rot0,,
498,本田 奥德赛 2008款 2.4L 舒适版,ASSGY4ASSNAZSSEN1,data/qxb-photos/row-0498_本田_本田 奥德赛 2008款 2.4L 舒适版/03_78f084466d.jpg,album_ocr:compact:contrast:rot0,,
499,本田 奥德赛 2007款 2.4L 舒适版,ASSSLT4PS1WM24REE,data/qxb-photos/row-0499_本田_本田 奥德赛 2007款 2.4L 舒适版/03_4320e985fe.jpg,album_ocr:compact:gray:rot0,,
500,丰田 凯美瑞 2006款 200G,ASSSLT22SSSSWN7AY,data/qxb-photos/row-0500_丰田_丰田 凯美瑞 2006款 200G/03_6aeaeaacd5.jpg,album_ocr:compact:contrast:rot270,,
501,丰田 卡罗拉 2007款 1.6L 自动GL,KSSRSB2SNJPYUANCH,data/qxb-photos/row-0501_丰田_丰田 卡罗拉 2007款 1.6L 自动GL/03_2be6d91fd0.jpg,album_ocr:compact:contrast:rot0,,
502,丰田 皇冠 2006款 2.5L Royal 真皮版,LF1SZSNVPAFNDRAMF,data/qxb-photos/row-0502_丰田_丰田 皇冠 2006款 2.5L Royal 真皮版/03_d7c18fff93.jpg,album_ocr:compact:contrast:rot270,,
503,丰田 RAV4荣放 2011款 2.0L 自动经典版,SSTESSGFLEC51AALL,data/qxb-photos/row-0503_丰田_丰田 RAV4荣放 2011款 2.0L 自动经典版/02_5f5fc852d2.jpg,album_ocr:compact:contrast:rot0,,
509,丰田 凯美瑞 2007款 200G 豪华版,ANESNWE2SSEYLZESS,data/qxb-photos/row-0509_丰田_丰田 凯美瑞 2007款 200G 豪华版/03_e11fd0e437.jpg,album_ocr:compact:contrast:rot0,,
511,日产 骊威 2007款 1.6L 手动多能型,BEXSSS4924X815999,data/qxb-photos/row-0511_日产_日产 骊威 2007款 1.6L 手动多能型/08_7b3214b2f7.jpg,album_ocr:compact:contrast:rot0,,
523,本田 雅阁 2008款 2.0L EX Navi,A20100513SSME5BR2,data/qxb-photos/row-0523_本田_本田 雅阁 2008款 2.0L EX Navi/16_071379061a.jpg,album_ocr:compact:contrast:rot0,,
525,本田 本田CR-V 2010款 2.0L 自动两驱都市版,MMRNXEESS15SB18SN,data/qxb-photos/row-0525_本田_本田 本田CR-V 2010款 2.0L 自动两驱都市版/03_0a60744019.jpg,album_ocr:compact:gray:rot0,,
532,丰田 凯美瑞 2016款 2.0E 十周年纪念精英版,BSSNNSSCSZSN7US2S,data/qxb-photos/row-0532_丰田_丰田 凯美瑞 2016款 2.0E 十周年纪念精英版/01_f2b11b6702.jpg,album_ocr:compact:contrast:rot0,,
533,丰田 普瑞维亚 2007款 3.5L 7人座豪华型,ASES31LJ7L7SDBSTA,data/qxb-photos/row-0533_丰田_丰田 普瑞维亚 2007款 3.5L 7人座豪华型/03_011ffd54f9.jpg,album_ocr:compact:contrast:rot0,,
534,奔驰 奔驰C级 2011款 C 200 CGI 优雅型,ABAYD4BEESN3TSTSS,data/qxb-photos/row-0534_奔驰_奔驰 奔驰C级 2011款 C 200 CGI 优雅型/03_38b9ac6b15.jpg,album_ocr:compact:contrast:rot0,,
535,本田 雅阁 2016款 2.0L 舒适版,A41BGPRLNAMSSESSR,data/qxb-photos/row-0535_本田_本田 雅阁 2016款 2.0L 舒适版/01_db00342a28.jpg,high:contrast:rot90,,
537,本田 雅阁 2016款 2.0L 舒适版,E4RJSUVJSNCCTEFSX,data/qxb-photos/row-0537_本田_本田 雅阁 2016款 2.0L 舒适版/03_653905c3d6.jpg,album_ocr:compact:contrast:rot90,,
538,本田 雅阁 2016款 混动 2.0L 锐酷版,FLUFSAVEAMVSS44W3,data/qxb-photos/row-0538_本田_本田 雅阁 2016款 混动 2.0L 锐酷版/03_33f9706aab.jpg,album_ocr:compact:contrast:rot90,,
539,本田 凌派 2016款 1.8L CVT舒适版,ASLSHOEPSBEUSSSAN,data/qxb-photos/row-0539_本田_本田 凌派 2016款 1.8L CVT舒适版/05_b70cabcd00.jpg,review:contrast:rot270,,
540,本田 奥德赛 2017款 2.4L 智享福祉版,ALLSXNNFXXSVMDSA4,data/qxb-photos/row-0540_本田_本田 奥德赛 2017款 2.4L 智享福祉版/03_91c65a2e4f.jpg,album_ocr:compact:contrast:rot0,,
541,本田 雅阁 2016款 2.0L 舒适版,AL4SSNMJKYY4VSPFZ,data/qxb-photos/row-0541_本田_本田 雅阁 2016款 2.0L 舒适版/03_0a1f671cf9.jpg,album_ocr:compact:contrast:rot270,,
197,本田 思域 2008款 1.8L 手动纪念经典版,LVHFA152985059496,data/qxb-photos/row-0197_本田_本田 思域 2008款 1.8L 手动纪念经典版/16_e431da4df0.jpg,album_ocr:very_high:gray:rot0,,
198,本田 雅阁 2012款 2.0L SE,LHGCP1699C8020019,data/qxb-photos/row-0198_本田_本田 雅阁 2012款 2.0L SE/16_dbc1c8ef53.jpg,album_ocr:very_high:gray:rot0,,
39,铃木 雨燕 2009款 1.3L 自动超值版,LSSW3ADR5AB067633,data/qxb-photos/row-0039_铃木_铃木 雨燕 2009款 1.3L 自动超值版/15_908e13a4c3.jpg,album_ocr:very_high:contrast:rot0,,
200,本田 飞度 2012款 1.3L 自动舒适版,LHGGE6838D2022331,data/qxb-photos/row-0200_本田_本田 飞度 2012款 1.3L 自动舒适版/16_819abce571.jpg,album_ocr:very_high:gray:rot0,,
201,本田 雅阁 2006款 2.0L 标准版,LHGCM462X52001255,data/qxb-photos/row-0201_本田_本田 雅阁 2006款 2.0L 标准版/16_abfc74d253.jpg,album_ocr:very_high:gray:rot0,,
202,起亚 起亚K2 2015款 三厢 1.4L AT GLS,LJDLAA296F0500490,data/qxb-photos/row-0202_起亚_起亚 起亚K2 2015款 三厢 1.4L AT GLS/16_bd1380448f.jpg,album_ocr:very_high:gray:rot0,,
203,起亚 秀尔 2010款 1.6L AT GLS,LJDHAA122A0009093,data/qxb-photos/row-0203_起亚_起亚 秀尔 2010款 1.6L AT GLS/16_cb739c7b32.jpg,album_ocr:very_high:gray:rot0,,
204,丰田 卡罗拉 2008款 1.8L 自动GL-i天窗特别版,LFMARE2C390214358,data/qxb-photos/row-0204_丰田_丰田 卡罗拉 2008款 1.8L 自动GL-i天窗特别版/16_ecc3807011.jpg,album_ocr:very_high:gray:rot0,,
205,本田 雅阁 2006款 2.4L 加热版,LHGCM567862017537,data/qxb-photos/row-0205_本田_本田 雅阁 2006款 2.4L 加热版/16_0c13c314f2.jpg,album_ocr:very_high:gray:rot0,,
63,铃木 天语 SX4 2010款 两厢 1.6L 手动冠军限量版,LS5A3ABE3AB070976,data/qxb-photos/row-0063_铃木_铃木 天语 SX4 2010款 两厢 1.6L 手动冠军限量版/16_b28e71775c.jpg,album_ocr:very_high:gray:rot0,,
208,本田 本田CR-V 2010款 2.4L 自动四驱豪华版,LVHRE4870B5059825,data/qxb-photos/row-0208_本田_本田 本田CR-V 2010款 2.4L 自动四驱豪华版/17_a148d1ce11.jpg,album_ocr:very_high:gray:rot0,,
210,日产 天籁 2005款 230JM-S,LGBF1CE045R132594,data/qxb-photos/row-0210_日产_日产 天籁 2005款 230JM-S/17_6d8f13f242.jpg,album_ocr:very_high:gray:rot0,,
211,丰田 锐志 2006款 2.5V,LFMBE22D760040068,data/qxb-photos/row-0211_丰田_丰田 锐志 2006款 2.5V/16_7dfec66e32.jpg,album_ocr:very_high:gray:rot0,,
213,丰田 卡罗拉 2008款 1.8L 自动GL-i天窗特别版,LFMARE2C880116148,data/qxb-photos/row-0213_丰田_丰田 卡罗拉 2008款 1.8L 自动GL-i天窗特别版/17_b64e598063.jpg,album_ocr:very_high:gray:rot0,,
214,奔驰 奔驰B级 2009款 B 200 豪华型,WDDFH3DB8AJ553786,data/qxb-photos/row-0214_奔驰_奔驰 奔驰B级 2009款 B 200 豪华型/16_e3515eee83.jpg,album_ocr:very_high:gray:rot0,,
215,铃木 奥拓 2009款 1.0L 自动豪华型,LS5A3ADD0AB133262,data/qxb-photos/row-0215_铃木_铃木 奥拓 2009款 1.0L 自动豪华型/16_f41cca2dad.jpg,album_ocr:very_high:gray:rot0,,
216,现代 北京现代ix35 2010款 2.0L 自动两驱精英版GLS,LBELMBKG8AY059009,data/qxb-photos/row-0216_现代_现代 北京现代ix35 2010款 2.0L 自动两驱精英版GLS/15_6a5c923393.jpg,album_ocr:high:contrast:rot0,,
217,本田 锋范经典 2012款 1.5L 自动精英版,LHGGM2651A2079093,data/qxb-photos/row-0217_本田_本田 锋范经典 2012款 1.5L 自动精英版/16_71551b3fa1.jpg,album_ocr:very_high:gray:rot0,,
218,现代 瑞纳 2013款 三厢 1.4L 自动标准型GL,A6BMN0BRSARMWEEHB,data/qxb-photos/row-0218_现代_现代 瑞纳 2013款 三厢 1.4L 自动标准型GL/16_a1234835f9.jpg,album_ocr:review:contrast:rot270,,
219,起亚 欧菲莱斯 2005款 2.7 V6标配,KNALD221465002810,data/qxb-photos/row-0219_起亚_起亚 欧菲莱斯 2005款 2.7 V6标配/19_b2ccd79fbd.jpg,album_ocr:very_high:gray:rot0,,
131,日产 奇骏 2010款 2.5L CVT豪华版 4WD,LGBM2DE41BS013063,data/qxb-photos/row-0131_日产_日产 奇骏 2010款 2.5L CVT豪华版 4WD/16_7c661ba970.jpg,album_ocr:very_high:gray:rot0,,
134,本田 奥德赛 2005款 2.4L 舒适型,LHGRB184752021508,data/qxb-photos/row-0134_本田_本田 奥德赛 2005款 2.4L 舒适型/16_0ded8263bf.jpg,album_ocr:very_high:gray:rot0,,
220,奔驰 奔驰E级(进口) 2005款 E280,LE4FTM8K25A900134,data/qxb-photos/row-0220_奔驰_奔驰 奔驰E级(进口) 2005款 E280/16_04745fbdcc.jpg,album_ocr:very_high:gray:rot0,,
136,日产 天籁 2008款 2.5L XL领先版,LGBF1DE049R222288,data/qxb-photos/row-0136_日产_日产 天籁 2008款 2.5L XL领先版/17_a79de4036c.jpg,album_ocr:very_high:gray:rot0,,
221,本田 锋范 2011款 1.5L 自动 精英品致版,LHGGM2651B2041879,data/qxb-photos/row-0221_本田_本田 锋范 2011款 1.5L 自动 精英品致版/17_f046a76b81.jpg,album_ocr:very_high:gray:rot0,,
143,本田 思域 2006款 1.8L 自动豪华版,LVHFA164975074630,data/qxb-photos/row-0143_本田_本田 思域 2006款 1.8L 自动豪华版/08_9f6812ea56.jpg,album_ocr:very_high:gray:rot0,,
144,日产 天籁 2008款 2.0L XL舒适版,LGBF1AE099R127966,data/qxb-photos/row-0144_日产_日产 天籁 2008款 2.0L XL舒适版/07_b923cf83b8.jpg,album_ocr:very_high:gray:rot0,,
145,日产 天籁 2005款 230JM,LGBF1CE065R130054,data/qxb-photos/row-0145_日产_日产 天籁 2005款 230JM/04_2ef04f5300.jpg,album_ocr:very_high:gray:rot0,,
149,日产 天籁 2006款 200JK豪华版,LGBF1AE046R002739,data/qxb-photos/row-0149_日产_日产 天籁 2006款 200JK豪华版/16_81f7c4e5bc.jpg,album_ocr:very_high:gray:rot0,,
224,现代 胜达 2013款 2.4L 自动四驱智能型,LBEDMBND8DZ009878,data/qxb-photos/row-0224_现代_现代 胜达 2013款 2.4L 自动四驱智能型/16_2394b411c2.jpg,album_ocr:very_high:gray:rot0,,
150,起亚 佳乐 2007款 2.0L 5座标准版,KNAFG521397222462,data/qxb-photos/row-0150_起亚_起亚 佳乐 2007款 2.0L 5座标准版/08_1699fa85c3.jpg,album_ocr:very_high:gray:rot0,,
225,现代 胜达 2013款 2.4L 自动四驱舒适型,LBEDMBND3DZ031559,data/qxb-photos/row-0225_现代_现代 胜达 2013款 2.4L 自动四驱舒适型/17_17c6bdf74a.jpg,album_ocr:very_high:gray:rot0,,
226,日产 颐达 2008款 1.6L 自动时尚型,LGBG12E277Y032790,data/qxb-photos/row-0226_日产_日产 颐达 2008款 1.6L 自动时尚型/16_25a970cdf6.jpg,album_ocr:very_high:gray:rot0,,
161,丰田 凯美瑞 2008款 240G 豪华版,LVGBE40K58G277309,data/qxb-photos/row-0161_丰田_丰田 凯美瑞 2008款 240G 豪华版/16_31171894d7.jpg,album_ocr:very_high:gray:rot0,,
163,本田 思域 2006款 1.8L 自动经典版 国III,LVHFA162165013186,data/qxb-photos/row-0163_本田_本田 思域 2006款 1.8L 自动经典版 国III/16_c7796bd6eb.jpg,album_ocr:very_high:gray:rot0,,
228,日产 颐达 2008款 1.6L 手动智能型,LGBG12E279Y069132,data/qxb-photos/row-0228_日产_日产 颐达 2008款 1.6L 手动智能型/16_863ded9f0d.jpg,album_ocr:very_high:gray:rot0,,
165,日产 天籁 2005款 230JM-S,LGBF1CE015R141690,data/qxb-photos/row-0165_日产_日产 天籁 2005款 230JM-S/06_7c526f03b9.jpg,album_ocr:very_high:gray:rot0,,
166,日产 天籁 2007款 御 230JK豪华版,LGBF1CE067R220646,data/qxb-photos/row-0166_日产_日产 天籁 2007款 御 230JK豪华版/08_6e46817757.jpg,album_ocr:very_high:gray:rot0,,
229,日产 骏逸 2006款 1.8L 手动标准型,LGBJB3E78AY010566,data/qxb-photos/row-0229_日产_日产 骏逸 2006款 1.8L 手动标准型/16_380f05ad79.jpg,album_ocr:very_high:gray:rot0,,
168,日产 轩逸 2007款 2.0L XE 舒适版 国III,A8RS0ZALSSASSJPSB,data/qxb-photos/row-0168_日产_日产 轩逸 2007款 2.0L XE 舒适版 国III/15_4a2b1c7980.jpg,album_ocr:compact:contrast:rot0,,
169,丰田 凯美瑞 2007款 240G 豪华版,LVGBE42K16G040598,data/qxb-photos/row-0169_丰田_丰田 凯美瑞 2007款 240G 豪华版/16_2b3fb1821f.jpg,album_ocr:very_high:gray:rot0,,
230,起亚 起亚K2 2011款 三厢 1.6L AT Premium,LJDLAA229B0052954,data/qxb-photos/row-0230_起亚_起亚 起亚K2 2011款 三厢 1.6L AT Premium/16_7623f62226.jpg,album_ocr:very_high:gray:rot0,,
170,奔驰 奔驰R级 2007款 R 350 L 4MATIC,WDCCB65E58A076957,data/qxb-photos/row-0170_奔驰_奔驰 奔驰R级 2007款 R 350 L 4MATIC/16_317a12e111.jpg,album_ocr:very_high:gray:rot0,,
172,三菱 格蓝迪 2007款 2.4 六座精英版,JE3AA58HX8Z502721,data/qxb-photos/row-0172_三菱_三菱 格蓝迪 2007款 2.4 六座精英版/08_7aa47d6631.jpg,album_ocr:very_high:gray:rot0,,
174,本田 思域 2009款 1.8L 自动经典版,LVHFA161XA5054934,data/qxb-photos/row-0174_本田_本田 思域 2009款 1.8L 自动经典版/16_9550dfd234.jpg,album_ocr:very_high:gray:rot0,,
231,丰田 卡罗拉 2012款 炫装版 1.8L 手动GL-i,MLPNPSACSSESRSPSS,data/qxb-photos/row-0231_丰田_丰田 卡罗拉 2012款 炫装版 1.8L 手动GL-i/01_1c0e6a11aa.jpg,album_ocr:high:contrast:rot0,,
176,日产 轩逸 2006款 2.0 XL,LGBH1AE077Y022886,data/qxb-photos/row-0176_日产_日产 轩逸 2006款 2.0 XL/16_abccaa4bb9.jpg,album_ocr:very_high:gray:rot0,,
177,丰田 雷凌 2017款 改款双擎 1.8H GS E-CVT精英天窗版 国V,LVGBY80E2JG083819,data/qxb-photos/row-0177_丰田_丰田 雷凌 2017款 改款双擎 1.8H GS E-CVT精英天窗版 国V/08_29f0deacf2.jpg,album_ocr:very_high:gray:rot0,,
233,丰田 凯美瑞 2006款 240G,A1CSFM2CSPSFXXVEN,data/qxb-photos/row-0233_丰田_丰田 凯美瑞 2006款 240G/03_85019253b3.jpg,album_ocr:compact:contrast:rot0,,
178,奔驰 奔驰E级 2011款 E 300 L 优雅型,LE4HG5EB6BL017774,data/qxb-photos/row-0178_奔驰_奔驰 奔驰E级 2011款 E 300 L 优雅型/16_a606f04f3c.jpg,album_ocr:very_high:gray:rot0,,
180,铃木 浪迪 2009款 1.4L手动标准型 阳光版,LVFAD1AD39G054513,data/qxb-photos/row-0180_铃木_铃木 浪迪 2009款 1.4L手动标准型 阳光版/16_fd1a5118b4.jpg,album_ocr:very_high:gray:rot0,,
235,日产 骊威 2010款 劲悦版 1.6L 自动全能型,LGBK22E51AY067091,data/qxb-photos/row-0235_日产_日产 骊威 2010款 劲悦版 1.6L 自动全能型/16_eb185f2a78.jpg,album_ocr:very_high:gray:rot0,,
184,铃木 奥拓 2013款 1.0L 自动豪华型,LS5A3ADD7CB098108,data/qxb-photos/row-0184_铃木_铃木 奥拓 2013款 1.0L 自动豪华型/16_d770c8bed3.jpg,album_ocr:very_high:gray:rot0,,
236,现代 悦动 2008款 1.6L MT GLS,LBEHDAEB69Y202280,data/qxb-photos/row-0236_现代_现代 悦动 2008款 1.6L MT GLS/16_f36f59f9b4.jpg,album_ocr:very_high:gray:rot0,,
238,现代 领动 2016款 1.6L 手动智炫·青春型,LBEADAEB0JX330722,data/qxb-photos/row-0238_现代_现代 领动 2016款 1.6L 手动智炫·青春型/16_f4a3156df4.jpg,album_ocr:review:gray:rot0,,
192,奔驰 奔驰B级 2009款 B 200 时尚型,WDDFH3DB4BJ693206,data/qxb-photos/row-0192_奔驰_奔驰 奔驰B级 2009款 B 200 时尚型/16_34b68901b0.jpg,album_ocr:very_high:gray:rot0,,
195,起亚 霸锐 2008款 3.8L 豪华版 国IV,KNAKN8111A5052321,data/qxb-photos/row-0195_起亚_起亚 霸锐 2008款 3.8L 豪华版 国IV/16_a06bbcee80.jpg,album_ocr:very_high:gray:rot0,,
239,丰田 威驰 2008款 1.3L GL-i MT,KNAJC526X85804201,data/qxb-photos/row-0239_丰田_丰田 威驰 2008款 1.3L GL-i MT/16_ea15b749bd.jpg,album_ocr:very_high:gray:rot0,,
240,起亚 福瑞迪 2011款 1.6L MT GLS,LJDGAA22XA0154134,data/qxb-photos/row-0240_起亚_起亚 福瑞迪 2011款 1.6L MT GLS/16_7189cc9ca3.jpg,album_ocr:very_high:gray:rot0,,
241,本田 飞度 2011款 1.3L 手动舒适版,LHGGE6735A2019139,data/qxb-photos/row-0241_本田_本田 飞度 2011款 1.3L 手动舒适版/16_94c062471a.jpg,album_ocr:very_high:gray:rot0,,
244,日产 奇骏 2008款 2.5L XV CVT 4WD,LGBM2DE468Y001092,data/qxb-photos/row-0244_日产_日产 奇骏 2008款 2.5L XV CVT 4WD/16_002663c9ef.jpg,album_ocr:very_high:gray:rot0,,
245,本田 本田CR-V 2010款 2.0L 自动两驱都市版,LVHRE1838A5002279,data/qxb-photos/row-0245_本田_本田 本田CR-V 2010款 2.0L 自动两驱都市版/16_ce7d6abcf0.jpg,album_ocr:very_high:gray:rot0,,
246,铃木 天语 SX4 2009款 两厢 1.6L 自动运动型,LS5A3ADE2AB025038,data/qxb-photos/row-0246_铃木_铃木 天语 SX4 2009款 两厢 1.6L 自动运动型/16_1dd4c6fedd.jpg,album_ocr:very_high:gray:rot0,,
247,丰田 花冠 2009款 1.6L 自动G特别版,LFMAP22C290127989,data/qxb-photos/row-0247_丰田_丰田 花冠 2009款 1.6L 自动G特别版/16_1fe8a7c2d6.jpg,album_ocr:very_high:gray:rot0,,
249,现代 途胜 2009款 2.0L 自动两驱天窗型,LBEJMBKB29X173670,data/qxb-photos/row-0249_现代_现代 途胜 2009款 2.0L 自动两驱天窗型/16_684a61679c.jpg,album_ocr:very_high:gray:rot0,,
251,起亚 福瑞迪 2011款 1.6L AT GL,LJDGAA227A0154320,data/qxb-photos/row-0251_起亚_起亚 福瑞迪 2011款 1.6L AT GL/16_5f27a95b6e.jpg,album_ocr:very_high:gray:rot0,,
252,现代 索纳塔 2011款 2.0L 自动豪华版,LBEYFAKD9CY137951,data/qxb-photos/row-0252_现代_现代 索纳塔 2011款 2.0L 自动豪华版/16_45df81c49c.jpg,album_ocr:very_high:gray:rot0,,
253,本田 思域 2009款 1.8L 自动舒适版,LVHFA1612B5022741,data/qxb-photos/row-0253_本田_本田 思域 2009款 1.8L 自动舒适版/16_b9fe8abb06.jpg,album_ocr:very_high:gray:rot0,,
256,本田 雅阁 2008款 2.4L EXL Navi,LHGCP260088047530,data/qxb-photos/row-0256_本田_本田 雅阁 2008款 2.4L EXL Navi/16_c068991f93.jpg,album_ocr:very_high:gray:rot0,,
257,丰田 威驰 2008款 1.6L GL-i 特别纪念版 AT,LFMAP90A0A0050215,data/qxb-photos/row-0257_丰田_丰田 威驰 2008款 1.6L GL-i 特别纪念版 AT/16_10e6bc038c.jpg,album_ocr:very_high:gray:rot0,,
258,日产 颐达 2006款 1.6JE MT,LGBG12E227Y055250,data/qxb-photos/row-0258_日产_日产 颐达 2006款 1.6JE MT/16_b3deea9fec.jpg,album_ocr:very_high:gray:rot0,,
259,现代 悦动 2010款 1.6L MT GLS,LBEHDAEB9AY506076,data/qxb-photos/row-0259_现代_现代 悦动 2010款 1.6L MT GLS/16_1c491597f0.jpg,album_ocr:very_high:gray:rot0,,
